,0,0,0,1,0
0,Менеджер по работе с клиентами / Администратор в школу музыки,https://spb.hh.ru/vacancy/44018242?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,27000,59000,руб.
1,Учитель музыки,https://spb.hh.ru/vacancy/44422992?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,8000,8000,руб.
2,Педагог дошкольного образования / Преподаватель,https://spb.hh.ru/vacancy/44370040?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,15000,50000,руб.
3,Менеджер по работе с клиентами в Школу неакадемической музыки,https://spb.hh.ru/vacancy/43664141?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,35000,75000,руб.
4,Воспитатель в частный детский сад,https://spb.hh.ru/vacancy/44123933?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,60000,64000,руб.
5,Тьютор для юноши с РАС,https://spb.hh.ru/vacancy/44348330?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,,,"[None, None]"
6,Воспитатель в частный детский сад,https://spb.hh.ru/vacancy/43812255?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,60000,64000,руб.
7,Младший специалист по работе с детьми / помощник педагога,https://spb.hh.ru/vacancy/44201230?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,20000,35000,руб.
8,Педагог-воспитатель,https://spb.hh.ru/vacancy/43964805?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,25000,40000,руб.
9,Педагог раннего развития,https://spb.hh.ru/vacancy/44452578?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,10000,25000,руб.
10,Учитель музыки (педагог - организатор мероприятий),https://spb.hh.ru/vacancy/44023618?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,,,"[None, None]"
11,Педагог по раннему развитию детей,https://spb.hh.ru/vacancy/44441817?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,40000,40000,руб.
12,Помощник специалиста по работе с детьми,https://spb.hh.ru/vacancy/44299502?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,12000,18000,руб.
13,"Преподаватель теоретических дисциплин (сольфеджио, музыкальная литература, слушание музыки)",https://spb.hh.ru/vacancy/43602695?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,18000,25000,руб.
14,Педагог/помощник педагога раннего развития в детский клуб,https://spb.hh.ru/vacancy/44433809?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,45000,45000,руб.
15,Педагог по творчеству,https://spb.hh.ru/vacancy/44422029?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,10000,35000,руб.
16,Администратор музыкальной школы,https://spb.hh.ru/vacancy/44293534?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,20000,30000,руб.
17,Педагог дополнительного образования (г. Истра),https://spb.hh.ru/vacancy/44408912?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,,,"[None, None]"
18,Специалист по раннему развитию детей,https://spb.hh.ru/vacancy/44286769?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,20000,40000,руб.
19,Преподаватель по фортепиано,https://spb.hh.ru/vacancy/44089878?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,15000,35000,руб.
20,Учитель музыки,https://spb.hh.ru/vacancy/44178952?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,20000,20000,руб.
21,Педагог-воспитатель,https://spb.hh.ru/vacancy/44248210?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,22000,30000,руб.
22,Учитель музыки,https://spb.hh.ru/vacancy/43638737?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,6500,6500,руб.
23,Администратор в школу музыки,https://spb.hh.ru/vacancy/44150278?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,35000,40000,руб.
24,Преподаватель по вокалу для взрослых,https://spb.hh.ru/vacancy/44185577?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,85000,85000,руб.
25,Учитель музыки,https://spb.hh.ru/vacancy/40585515?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,,,"[None, None]"
26,Преподаватель вокала онлайн,https://spb.hh.ru/vacancy/44282547?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,25000,50000,руб.
27,Воспитатель в частный детский сад,https://spb.hh.ru/vacancy/44225549?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,23000,25000,руб.
28,Учитель музыки,https://spb.hh.ru/vacancy/43401470?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,,,"[None, None]"
29,Учитель музыки,https://spb.hh.ru/vacancy/44185263?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,600,600,руб.
30,Педагог-воспитатель / частный детский сад и клуб,https://spb.hh.ru/vacancy/44205064?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,10000,45000,руб.
31,Учитель музыки,https://spb.hh.ru/vacancy/43401453?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,,,"[None, None]"
32,Куратор педагогов по вокалу,https://spb.hh.ru/vacancy/44162500?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,50000,80000,руб.
33,Педагог по раннему развитию,https://spb.hh.ru/vacancy/44225679?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,25000,40000,руб.
34,Педагог по эстрадному вокалу,https://spb.hh.ru/vacancy/44072275?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,70000,70000,руб.
35,Учитель музыки,https://spb.hh.ru/vacancy/40617533?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,,,"[None, None]"
36,Учитель музыки,https://spb.hh.ru/vacancy/40592028?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,,,"[None, None]"
37,Преподаватель по вокалу,https://spb.hh.ru/vacancy/44304569?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,20000,50000,руб.
38,Учитель музыки,https://spb.hh.ru/vacancy/43401461?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,,,"[None, None]"
39,Учитель музыки,https://spb.hh.ru/vacancy/44088286?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,,,"[None, None]"
40,Преподаватель гитары/электрогитары/укулеле,https://spb.hh.ru/vacancy/43895515?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,20000,100000,руб.
41,Учитель музыки,https://spb.hh.ru/vacancy/43950062?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,25000,25000,руб.
42,"Специалист по работе с детьми (воспитатель, педагог)",https://spb.hh.ru/vacancy/43849711?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,15000,25000,руб.
43,Педагог по гитаре,https://spb.hh.ru/vacancy/43705572?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,40000,60000,руб.
